Descripcion;SKU_Detectado;Imagen_Original;Imagen_Final;Imagen_URL_Origen;URL_Producto;Fuente
AZUL 04742;;image205.png;azul-04742.png;;;DOCX_V2_SEGURO
AZUL 04742;;image206.png;azul-04742-252.png;;;DOCX_V2_SEGURO
AZUL 04742;;image207.png;azul-04742-253.png;;;DOCX_V2_SEGURO
AZUL 04742;;image208.png;azul-04742-254.png;;;DOCX_V2_SEGURO
AZUL 04742;;image209.png;azul-04742-255.png;;;DOCX_V2_SEGURO
AZUL 04742;;image210.png;azul-04742-256.png;;;DOCX_V2_SEGURO
AZUL 04742;;image211.png;azul-04742-257.png;;;DOCX_V2_SEGURO
AZUL 04742;;image212.png;azul-04742-258.png;;;DOCX_V2_SEGURO
AZUL 04742;;image213.png;azul-04742-259.png;;;DOCX_V2_SEGURO
AZUL 04742;;image214.png;azul-04742-260.png;;;DOCX_V2_SEGURO
AZUL 04742;;image215.png;azul-04742-261.png;;;DOCX_V2_SEGURO
AZUL 04742;;image216.png;azul-04742-262.png;;;DOCX_V2_SEGURO
AZUL 02901;;image217.jpeg;azul-02901.jpeg;;;DOCX_V2_SEGURO
AZUL 02901;;image218.jpeg;azul-02901-264.jpeg;;;DOCX_V2_SEGURO
AZUL CLARO 05054;;image219.jpeg;azul-claro-05054.jpeg;;;DOCX_V2_SEGURO
CAUCHO PALANCA DE CAMBIO;;image220.jpeg;caucho-palanca-de-cambio.jpeg;;;DOCX_V2_SEGURO
DONA MOFLE AX / AKT 100;;image221.jpeg;dona-mofle-ax-akt-100.jpeg;;;DOCX_V2_SEGURO
DONA MOFLE RX 100/115;;image222.jpeg;dona-mofle-rx-100-115.jpeg;;;DOCX_V2_SEGURO
BOXER/DISCOVER/NKD/WIND CBF-150;;image223.jpeg;boxer-discover-nkd-wind-cbf-150.jpeg;;;DOCX_V2_SEGURO
NEGRO 04784;;image226.png;negro-04784.png;;;DOCX_V2_SEGURO
NEGRO 04784;;image227.png;negro-04784-273.png;;;DOCX_V2_SEGURO
NEGRO 04784;;image228.png;negro-04784-274.png;;;DOCX_V2_SEGURO
PORTA PLACA (REFUERZO) ACERO INOXIDABLE Calibre.18;;image229.jpeg;porta-placa-refuerzo-acero-inoxidable-calibre-18.jpeg;;;DOCX_V2_SEGURO
PORTA PLACA YAMAHA;;image230.jpeg;porta-placa-yamaha.jpeg;;;DOCX_V2_SEGURO
PORTA PLACA YAMAHA;;image231.jpeg;porta-placa-yamaha-277.jpeg;;;DOCX_V2_SEGURO
ZAPOTE 03784;;image232.jpeg;zapote-03784.jpeg;;;DOCX_V2_SEGURO
ZAPOTE 03784;;image233.jpeg;zapote-03784-279.jpeg;;;DOCX_V2_SEGURO
ZAPOTE 03784;;image234.jpeg;zapote-03784-280.jpeg;;;DOCX_V2_SEGURO
ZAPOTE 03784;;image235.jpeg;zapote-03784-281.jpeg;;;DOCX_V2_SEGURO
ZAPOTE 03784;;image236.jpeg;zapote-03784-282.jpeg;;;DOCX_V2_SEGURO
AMARILLO FLUORESCENTE 02866;;image237.jpeg;amarillo-fluorescente-02866.jpeg;;;DOCX_V2_SEGURO
PROTECTOR CALZADO KING COLORES SURTIDOS;;image238.jpeg;protector-calzado-king-colores-surtidos.jpeg;;;DOCX_V2_SEGURO
PROTECTOR CALZADO KING COLORES SURTIDOS;;image239.jpeg;protector-calzado-king-colores-surtidos-285.jpeg;;;DOCX_V2_SEGURO
FUCSIA 04970;;image244.jpeg;fucsia-04970.jpeg;;;DOCX_V2_SEGURO
FUCSIA 04970;;image245.jpeg;fucsia-04970-291.jpeg;;;DOCX_V2_SEGURO
FUELLE TELESCOPICO;;image249.jpeg;fuelle-telescopico.jpeg;;;DOCX_V2_SEGURO
FUELLE TELESCOPICO;;image250.jpeg;fuelle-telescopico-296.jpeg;;;DOCX_V2_SEGURO
PULPOS Y MALLAS;;image251.jpeg;pulpos-y-mallas.jpeg;;;DOCX_V2_SEGURO
PULPO PLANO 1.50 MTS NEGRO 1907;;image252.png;pulpo-plano-1-50-mts-negro-1907.png;;;DOCX_V2_SEGURO
AZUL 1908;;image253.png;azul-1908.png;;;DOCX_V2_SEGURO
AZUL 1908;;image254.jpeg;azul-1908.jpeg;;;DOCX_V2_SEGURO
AZUL 1908;;image255.png;azul-1908-301.png;;;DOCX_V2_SEGURO
AZUL 1908;;image256.png;azul-1908-302.png;;;DOCX_V2_SEGURO
AZUL 1908;;image257.png;azul-1908-303.png;;;DOCX_V2_SEGURO
AZUL 1908;;image258.png;azul-1908-304.png;;;DOCX_V2_SEGURO
AZUL 1908;;image259.png;azul-1908-305.png;;;DOCX_V2_SEGURO
AZUL 1908;;image260.png;azul-1908-306.png;;;DOCX_V2_SEGURO
AZUL 1908;;image261.png;azul-1908-307.png;;;DOCX_V2_SEGURO
AZUL 1908;;image262.png;azul-1908-308.png;;;DOCX_V2_SEGURO
AZUL 1908;;image263.png;azul-1908-309.png;;;DOCX_V2_SEGURO
AZUL 1908;;image264.png;azul-1908-310.png;;;DOCX_V2_SEGURO
AZUL 04911;;image265.png;azul-04911.png;;;DOCX_V2_SEGURO
AZUL 04911;;image266.png;azul-04911-312.png;;;DOCX_V2_SEGURO
PULPO ANCHO 1.80 MTS GANCHO METALICO COLORES SURTIDOS;;image267.jpeg;pulpo-ancho-1-80-mts-gancho-metalico-colores-surtidos.jpeg;;;DOCX_V2_SEGURO
PULPO PLANO 1.50 MTS COMBINADO;;image269.jpeg;pulpo-plano-1-50-mts-combinado.jpeg;;;DOCX_V2_SEGURO
GANCHO METALICO;;image270.jpeg;gancho-metalico.jpeg;;;DOCX_V2_SEGURO
GANCHO METALICO;;image271.jpeg;gancho-metalico-317.jpeg;;;DOCX_V2_SEGURO
AKT-TT 125/150;;image272.jpeg;akt-tt-125-150.jpeg;;;DOCX_V2_SEGURO
AKT-125 FLEX;;image273.jpeg;akt-125-flex.jpeg;;;DOCX_V2_SEGURO
AKT-EVO R3;;image275.jpeg;akt-evo-r3.jpeg;;;DOCX_V2_SEGURO
AKT-EVO- NE;;image276.jpeg;akt-evo-ne.jpeg;;;DOCX_V2_SEGURO
BOXER CT /PLATINO;;image277.jpeg;boxer-ct-platino.jpeg;;;DOCX_V2_SEGURO
DE ENSAMBLE AUTECO;;image279.jpeg;de-ensamble-auteco.jpeg;;;DOCX_V2_SEGURO
DE ENSAMBLE AUTECO;;image280.jpeg;de-ensamble-auteco-330.jpeg;;;DOCX_V2_SEGURO
DE ENSAMBLE AUTECO;;image281.jpeg;de-ensamble-auteco-331.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA;;image290.jpeg;union-de-cadena.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA;;image291.jpeg;union-de-cadena-341.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA;;image291.jpeg;union-de-cadena-342.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA;;image292.jpeg;union-de-cadena-343.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA;;image293.jpeg;union-de-cadena-344.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA;;image294.jpeg;union-de-cadena-345.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA 428H;;image295.jpeg;union-de-cadena-428h.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA 428H;;image294.jpeg;union-de-cadena-428h-347.jpeg;;;DOCX_V2_SEGURO
UNION DE CADENA 428H;;image294.jpeg;union-de-cadena-428h-348.jpeg;;;DOCX_V2_SEGURO
CILINDROS;;image296.jpeg;cilindros.jpeg;;;DOCX_V2_SEGURO
CILINDROS;;image296.jpeg;cilindros-350.jpeg;;;DOCX_V2_SEGURO
CILINDRO CB- 110;;image297.jpeg;cilindro-cb-110.jpeg;;;DOCX_V2_SEGURO
CILINDRO CB- 110;;image298.jpeg;cilindro-cb-110-352.jpeg;;;DOCX_V2_SEGURO
CILINDRO CRYPTON- 110 TOCO;;image301.jpeg;cilindro-crypton-110-toco.jpeg;;;DOCX_V2_SEGURO
CILINDRO CRYPTON- 110 TOCO;;image302.jpeg;cilindro-crypton-110-toco-356.jpeg;;;DOCX_V2_SEGURO
CILINDRO CRYPTON- 110 ALUMINIO TOCO;;image303.jpeg;cilindro-crypton-110-aluminio-toco.jpeg;;;DOCX_V2_SEGURO
CILINDRO CRYPTON- 110 ALUMINIO TOCO;;image304.jpeg;cilindro-crypton-110-aluminio-toco-358.jpeg;;;DOCX_V2_SEGURO
CILINDRO BWS- 125;;image305.jpeg;cilindro-bws-125.jpeg;;;DOCX_V2_SEGURO
CILINDRO BWS- 125;;image306.jpeg;cilindro-bws-125-360.jpeg;;;DOCX_V2_SEGURO
CILINDRO FZ 16;;image307.jpeg;cilindro-fz-16.jpeg;;;DOCX_V2_SEGURO
CILINDRO FZ 16;;image306.jpeg;cilindro-fz-16-362.jpeg;;;DOCX_V2_SEGURO
CILINDRO AGILITY 125 TOCO;;image308.jpeg;cilindro-agility-125-toco.jpeg;;;DOCX_V2_SEGURO
CILINDRO AGILITY 125 TOCO;;image306.jpeg;cilindro-agility-125-toco-364.jpeg;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image1.jpeg;base-pata-lateral-acero.jpeg;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image2.jpeg;base-pata-lateral-acero-405.jpeg;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image3.jpeg;base-pata-lateral-acero-406.jpeg;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image340.png;base-pata-lateral-acero.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image341.jpeg;base-pata-lateral-acero-408.jpeg;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image342.png;base-pata-lateral-acero-409.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image343.jpeg;base-pata-lateral-acero-410.jpeg;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image344.jpeg;base-pata-lateral-acero-411.jpeg;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image345.jpeg;base-pata-lateral-acero-412.jpeg;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image346.png;base-pata-lateral-acero-413.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image347.png;base-pata-lateral-acero-414.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image348.png;base-pata-lateral-acero-415.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image349.png;base-pata-lateral-acero-416.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image350.png;base-pata-lateral-acero-417.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image351.png;base-pata-lateral-acero-418.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image352.png;base-pata-lateral-acero-419.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image353.png;base-pata-lateral-acero-420.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image354.png;base-pata-lateral-acero-421.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image355.png;base-pata-lateral-acero-422.png;;;DOCX_V2_SEGURO
BASE PATA LATERAL ACERO;;image356.png;base-pata-lateral-acero-423.png;;;DOCX_V2_SEGURO
